Campus;Centro;Estudi;Mujer;Hombre;Total
CAMPUS BLASCO IBAÑEZ;Facultat d'Infermeria i Podologia;Grau en Infermeria;23;6;29
CAMPUS BLASCO IBAÑEZ;Facultat d'Infermeria i Podologia;Grau en Podologia;7;2;9
CAMPUS BLASCO IBAÑEZ;Facultat d'Infermeria i Podologia;Total;30;8;38
CAMPUS BLASCO IBAÑEZ;Facultat de Ciències de l'Activitat Física i l'Esport;Grau en Ciències de l'Activitat Física i de l'Esport;3;22;25
CAMPUS BLASCO IBAÑEZ;Facultat de Ciències de l'Activitat Física i l'Esport;Total;3;22;25
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Comunicació Audiovisual;1;3;4
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Anglesos;15;3;18
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Hispànics;5;3;8
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Catalana;5;1;6
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Clàssica;2;1;3
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Llengües Modernes i les seues Literatures;6;1;7
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Periodisme;3;0;3
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Traducció i Mediació Interlingüística;6;1;7
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Total;43;13;56
CAMPUS BLASCO IBAÑEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Educació Social;3;2;5
CAMPUS BLASCO IBAÑEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Filosofia;5;6;11
CAMPUS BLASCO IBAÑEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Pedagogia;13;0;13
CAMPUS BLASCO IBAÑEZ;Facultat de Filosofia i Ciències de l'Educació;Total;21;8;29
CAMPUS BLASCO IBAÑEZ;Facultat de Fisioteràpia;Grau en Fisioteràpia;5;7;12
CAMPUS BLASCO IBAÑEZ;Facultat de Fisioteràpia;Total;5;7;12
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Grau en Geografia i Medi Ambient;2;4;6
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Grau en Història;9;15;24
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Grau en Història de l'Art;10;4;14
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Total;21;23;44
CAMPUS BLASCO IBAÑEZ;Facultat de Medicina i Odontologia;Grau en Medicina;24;12;36
CAMPUS BLASCO IBAÑEZ;Facultat de Medicina i Odontologia;Grau en Odontologia;3;3;6
CAMPUS BLASCO IBAÑEZ;Facultat de Medicina i Odontologia;Total;27;15;42
CAMPUS BLASCO IBAÑEZ;Facultat de Psicologia i Logopèdia;Grau en Logopèdia;4;0;4
CAMPUS BLASCO IBAÑEZ;Facultat de Psicologia i Logopèdia;Grau en Psicologia;32;7;39
CAMPUS BLASCO IBAÑEZ;Facultat de Psicologia i Logopèdia;Total;36;7;43
CAMPUS BLASCO IBAÑEZ;Total;;186;103;289
CAMPUS BURJASSOT-PATERNA;Escola Tècnica Superior d'Enginyeria;Grau en Ciència de Dades;5;5;10
CAMPUS BURJASSOT-PATERNA;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Electrònica de Telecomunicació;1;4;5
CAMPUS BURJASSOT-PATERNA;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Electrònica Industrial;0;5;5
CAMPUS BURJASSOT-PATERNA;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Informàtica;0;5;5
CAMPUS BURJASSOT-PATERNA;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Multimèdia;0;1;1
CAMPUS BURJASSOT-PATERNA;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Química;3;1;4
CAMPUS BURJASSOT-PATERNA;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Telemàtica;2;1;3
CAMPUS BURJASSOT-PATERNA;Escola Tècnica Superior d'Enginyeria;Total;11;22;33
CAMPUS BURJASSOT-PATERNA;Facultat de Ciències Biològiques;Grau en Biologia;4;4;8
CAMPUS BURJASSOT-PATERNA;Facultat de Ciències Biològiques;Grau en Bioquímica i Ciències Biomèdiques;2;0;2
CAMPUS BURJASSOT-PATERNA;Facultat de Ciències Biològiques;Grau en Biotecnologia;3;4;7
CAMPUS BURJASSOT-PATERNA;Facultat de Ciències Biològiques;Grau en Ciències Ambientals;6;8;14
CAMPUS BURJASSOT-PATERNA;Facultat de Ciències Biològiques;Total;15;16;31
CAMPUS BURJASSOT-PATERNA;Facultat de Ciències Matemàtiques;Grau en Matemàtiques;6;4;10
CAMPUS BURJASSOT-PATERNA;Facultat de Ciències Matemàtiques;Total;6;4;10
CAMPUS BURJASSOT-PATERNA;Facultat de Farmàcia;Doble Grau en Farmàcia i Nutrició Humana i Dietètica;3;1;4
CAMPUS BURJASSOT-PATERNA;Facultat de Farmàcia;Grau en Ciència i Tecnologia dels Aliments;3;4;7
CAMPUS BURJASSOT-PATERNA;Facultat de Farmàcia;Grau en Ciències Gastronòmiques;1;1;2
CAMPUS BURJASSOT-PATERNA;Facultat de Farmàcia;Grau en Farmàcia;16;6;22
CAMPUS BURJASSOT-PATERNA;Facultat de Farmàcia;Grau en Nutrició Humana i Dietètica;5;1;6
CAMPUS BURJASSOT-PATERNA;Facultat de Farmàcia;Total;28;13;41
CAMPUS BURJASSOT-PATERNA;Facultat de Física;Grau en Física;2;10;12
CAMPUS BURJASSOT-PATERNA;Facultat de Física;Grau en Òptica i Optometria;6;0;6
CAMPUS BURJASSOT-PATERNA;Facultat de Física;Total;8;10;18
CAMPUS BURJASSOT-PATERNA;Facultat de Química;Grau en Química;10;4;14
CAMPUS BURJASSOT-PATERNA;Facultat de Química;Total;10;4;14
CAMPUS BURJASSOT-PATERNA;Total;;78;69;147
CAMPUS DELS TARONGERS;Dobles Títols Facultat de Dret - Facultat d'Economia;Doble Grau en Administració i Direcció d'Empreses i Dret;5;2;7
CAMPUS DELS TARONGERS;Dobles Títols Facultat de Dret - Facultat d'Economia;Total;5;2;7
CAMPUS DELS TARONGERS;Facultat d'Economia;Doble Grau en Turisme i Administració i Direcció d'Empreses;4;2;6
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Administració i Direcció d'Empreses;25;20;45
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Economia;6;8;14
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Finances i Comptabilitat;8;5;13
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Intel·ligència i Analítica de Negocis;1;3;4
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Negocis Internacionals;6;5;11
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Turisme;5;0;5
CAMPUS DELS TARONGERS;Facultat d'Economia;Total;55;43;98
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;7;1;8
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Relacions Laborals i Recursos Humans;11;8;19
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Sociologia;1;2;3
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Treball Social;10;4;14
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Total;29;15;44
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Dret i Ciències Polítiques i de l'Administració Pública;3;0;3
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Dret i Criminologia;4;1;5
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;0;1;1
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Ciències Polítiques i de l'Administració Pública;6;1;7
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Criminologia;4;4;8
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Dret;41;20;61
CAMPUS DELS TARONGERS;Facultat de Dret;Total;58;27;85
CAMPUS DELS TARONGERS;Facultat de Magisteri;Grau en Mestre/a en Educació Infantil;34;5;39
CAMPUS DELS TARONGERS;Facultat de Magisteri;Grau en Mestre/a en Educació Primària;38;8;46
CAMPUS DELS TARONGERS;Facultat de Magisteri;Total;72;13;85
CAMPUS DELS TARONGERS;Total;;219;100;319
Total;;;483;272;755
