Campus;Centre;Estudi;Mujer;Hombre;Total
CAMPUS BLASCO IBAÑEZ;Facultat d'Infermeria i Podologia;Grau en Infermeria;1.106;198;1.304
CAMPUS BLASCO IBAÑEZ;Facultat d'Infermeria i Podologia;Grau en Podologia;159;57;216
CAMPUS BLASCO IBAÑEZ;Facultat d'Infermeria i Podologia;Total;1.265;255;1.520
CAMPUS BLASCO IBAÑEZ;Facultat de Ciències de l'Activitat Física i l'Esport;Grau en Ciències de l'Activitat Física i de l'Esport;182;659;841
CAMPUS BLASCO IBAÑEZ;Facultat de Ciències de l'Activitat Física i l'Esport;Total;182;659;841
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Comunicació Audiovisual;219;119;338
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Anglesos;592;174;766
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Hispànics;357;89;446
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Catala0;181;68;249
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Clàssica;103;48;151
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Llengües Modernes i les seues Literatures;346;96;442
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Periodisme;194;133;327
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Traducció i Mediació Interlingüística;365;84;449
CAMPUS BLASCO IBAÑEZ;Facultat de Filologia, Traducció i Comunicació;Total;2.357;811;3.168
CAMPUS BLASCO IBAÑEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Educació Social;570;93;663
CAMPUS BLASCO IBAÑEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Filosofia;232;253;485
CAMPUS BLASCO IBAÑEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Pedagogia;515;81;596
CAMPUS BLASCO IBAÑEZ;Facultat de Filosofia i Ciències de l'Educació;Total;1.317;427;1.744
CAMPUS BLASCO IBAÑEZ;Facultat de Fisioteràpia;Grau en Fisioteràpia;346;314;660
CAMPUS BLASCO IBAÑEZ;Facultat de Fisioteràpia;Total;346;314;660
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Formació per a la qualificació específica en  Geografia e Història (títol propi);2;5;7
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Grau en Geografia i Medi Ambient;83;188;271
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Grau en Història;299;650;949
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Grau en Història de l'Art;505;180;685
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Grau en Informació i Documentació;69;52;121
CAMPUS BLASCO IBAÑEZ;Facultat de Geografia i Història;Total;958;1.075;2.033
CAMPUS BLASCO IBAÑEZ;Facultat de Medici0 i Odontologia;Grau en Medici0;1.363;634;1.997
CAMPUS BLASCO IBAÑEZ;Facultat de Medici0 i Odontologia;Grau en Odontologia;304;97;401
CAMPUS BLASCO IBAÑEZ;Facultat de Medici0 i Odontologia;Total;1.667;731;2.398
CAMPUS BLASCO IBAÑEZ;Facultat de Psicologia i Logopèdia;Grau en Logopèdia;259;20;279
CAMPUS BLASCO IBAÑEZ;Facultat de Psicologia i Logopèdia;Grau en Psicologia;1.499;386;1.885
CAMPUS BLASCO IBAÑEZ;Facultat de Psicologia i Logopèdia;Total;1.758;406;2.164
CAMPUS BLASCO IBAÑEZ;Total;;9.850;4.678;14.528
CAMPUS BURJASSOT_PATER0;Doble Grau en Física i Matemàtiques;Doble Grau en Física i Matemàtiques;7;23;30
CAMPUS BURJASSOT_PATER0;Doble Grau en Física i Matemàtiques;Total;7;23;30
CAMPUS BURJASSOT_PATER0;Doble Grau en Física i Química;Doble Grau en Física i Química;10;10;20
CAMPUS BURJASSOT_PATER0;Doble Grau en Física i Química;Total;10;10;20
CAMPUS BURJASSOT_PATER0;Escola Tècnica Superior d'Enginyeria;Grau en Ciència de Dades;61;125;186
CAMPUS BURJASSOT_PATER0;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Electrònica de Telecomunicació;40;214;254
CAMPUS BURJASSOT_PATER0;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Electrònica Industrial;32;255;287
CAMPUS BURJASSOT_PATER0;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Informàtica;41;221;262
CAMPUS BURJASSOT_PATER0;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Multimèdia;68;223;291
CAMPUS BURJASSOT_PATER0;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Química;145;175;320
CAMPUS BURJASSOT_PATER0;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Telemàtica;47;250;297
CAMPUS BURJASSOT_PATER0;Escola Tècnica Superior d'Enginyeria;Total;434;1.463;1.897
CAMPUS BURJASSOT_PATER0;Facultat de Ciències Biològiques;Grau en Biologia;317;199;516
CAMPUS BURJASSOT_PATER0;Facultat de Ciències Biològiques;Grau en Bioquímica i Ciències Biomèdiques;217;87;304
CAMPUS BURJASSOT_PATER0;Facultat de Ciències Biològiques;Grau en Biotecnologia;206;108;314
CAMPUS BURJASSOT_PATER0;Facultat de Ciències Biològiques;Grau en Ciències Ambientals;128;138;266
CAMPUS BURJASSOT_PATER0;Facultat de Ciències Biològiques;Total;868;532;1.400
CAMPUS BURJASSOT_PATER0;Facultat de Ciències Matemàtiques;Grau en Matemàtiques;192;315;507
CAMPUS BURJASSOT_PATER0;Facultat de Ciències Matemàtiques;Total;192;315;507
CAMPUS BURJASSOT_PATER0;Facultat de Farmàcia;Doble Grau en Farmàcia i Nutrició Huma0 i Dietètica;182;62;244
CAMPUS BURJASSOT_PATER0;Facultat de Farmàcia;Grau en Ciència i Tecnologia dels Aliments;172;95;267
CAMPUS BURJASSOT_PATER0;Facultat de Farmàcia;Grau en Ciències Gastronòmiques;80;69;149
CAMPUS BURJASSOT_PATER0;Facultat de Farmàcia;Grau en Farmàcia;847;296;1.143
CAMPUS BURJASSOT_PATER0;Facultat de Farmàcia;Grau en Nutrició Huma0 i Dietètica;377;172;549
CAMPUS BURJASSOT_PATER0;Facultat de Farmàcia;Total;1.658;694;2.352
CAMPUS BURJASSOT_PATER0;Facultat de Física;Grau en Física;133;350;483
CAMPUS BURJASSOT_PATER0;Facultat de Física;Grau en Òptica i Optometria;162;44;206
CAMPUS BURJASSOT_PATER0;Facultat de Física;Total;295;394;689
CAMPUS BURJASSOT_PATER0;Facultat de Química;Grau en Química;423;370;793
CAMPUS BURJASSOT_PATER0;Facultat de Química;Total;423;370;793
CAMPUS BURJASSOT_PATER0;Total;;3.887;3.801;7.688
CAMPUS DELS TARONGERS;Dobles Títols Facultat de Dret _ Facultat d'Economia;Doble Grau en Administració i Direcció d'Empreses i Dret;280;197;477
CAMPUS DELS TARONGERS;Dobles Títols Facultat de Dret _ Facultat d'Economia;Total;280;197;477
CAMPUS DELS TARONGERS;Facultat d'Economia;Doble Grau en Turisme i Administració i Direcció d'Empreses;216;72;288
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Administració i Direcció d'Empreses;1.085;1.196;2.281
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Economia;408;532;940
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Fi0nces i Comptabilitat;282;290;572
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Intel·ligència i A0lítica de Negocis;48;49;97
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Negocis Inter0cio0ls;501;255;756
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Turisme;420;231;651
CAMPUS DELS TARONGERS;Facultat d'Economia;Total;2.960;2.625;5.585
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;111;65;176
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Relacions Laborals i Recursos Humans;658;342;1.000
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Sociologia;174;138;312
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Treball Social;762;106;868
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Total;1.705;651;2.356
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Dret i Ciències Polítiques i de l'Administració Pública;129;115;244
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Dret i Criminologia;366;73;439
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;2;3;5
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Ciències Polítiques i de l'Administració Pública;213;226;439
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Criminologia;333;135;468
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Dret;1.957;1.027;2.984
CAMPUS DELS TARONGERS;Facultat de Dret;Total;3.000;1.579;4.579
CAMPUS DELS TARONGERS;Facultat de Magisteri;Grau en Mestre/a en Educació Infantil;1.289;130;1.419
CAMPUS DELS TARONGERS;Facultat de Magisteri;Grau en Mestre/a en Educació Primària;1.503;589;2.092
CAMPUS DELS TARONGERS;Facultat de Magisteri;Total;2.792;719;3.511
CAMPUS DELS TARONGERS;Total;;10.737;5.771;16.508
Total;;;24.474;14.250;38.724
