edad;2017(Mujer);2017(Hombre);2017;2018(Mujer);2018(Hombre);2018;2019(Mujer);2019(Hombre);2019;2020(Mujer);2020(Hombre);2020
Menor 25        ;0;0;0;0;0;0;1;2;3;2;2;4
25-29       ;4;1;5;3;0;3;0;3;3;2;5;7
30-34       ;21;12;33;19;13;32;17;15;32;11;15;26
25-39       ;72;49;121;55;36;91;54;26;80;59;25;84
40-44       ;173;100;273;185;102;287;182;109;291;160;98;258
45-49       ;268;130;398;214;110;324;228;115;343;231;108;339
50-54       ;331;175;506;346;179;525;345;177;522;322;160;482
55-59       ;239;127;366;263;141;404;285;153;438;331;166;497
60-64       ;145;74;219;156;88;244;183;97;280;190;113;303
Mayor 65        ;9;5;14;11;8;19;12;12;24;16;9;25
