provincia;2017-2018(Mujer);2017-2018(Hombre);2017-2018(Total);2018-2019(Mujer);2018-2019(Hombre);2018-2019(Total);2019-2020(Mujer);2019-2020(Hombre);2019-2020(Total);2020-2021(Mujer);2020-2021(Hombre);2020-2021(Total)
Àlaba;0;0;0;0;0;0;2;1;3;0;0;0
Alacant;421;207;628;408;259;667;466;236;702;456;253;709
Albacete;99;60;159;86;49;135;107;69;176;110;52;162
Almeria;1;4;5;15;5;20;14;5;19;15;9;24
Astúries;1;1;2;0;0;0;2;2;4;5;3;8
Àvila;0;0;0;2;0;2;0;0;0;2;0;2
Badajoz;1;1;2;0;0;0;1;1;2;0;3;3
Barcelo0;4;0;4;5;3;8;9;3;12;10;7;17
Biscaia;2;0;2;0;1;1;0;1;1;3;0;3
Burgos;1;0;1;4;1;5;5;0;5;3;1;4
Càceres;0;0;0;1;0;1;1;0;1;2;2;4
Cadis;3;4;7;4;1;5;3;2;5;2;1;3
Cantàbria;3;1;4;5;1;6;3;2;5;4;2;6
Castelló;284;168;452;285;171;456;290;155;445;328;157;485
Ceuta;1;0;1;0;0;0;0;0;0;1;0;1
Ciudad Real;21;11;32;17;4;21;18;4;22;18;15;33
Conca;70;34;104;68;34;102;82;41;123;66;38;104
Còrdova;3;0;3;1;1;2;1;5;6;0;1;1
Estranger;12;11;23;32;19;51;41;27;68;51;35;86
Giro0;0;0;0;2;0;2;0;0;0;1;1;2
Gra0da;2;0;2;1;1;2;10;3;13;3;0;3
Guadalajara;0;1;1;0;0;0;1;1;2;0;1;1
Guipúscoa;0;1;1;0;3;3;0;2;2;3;0;3
Huelva;2;0;2;0;0;0;1;3;4;1;2;3
Illes Balears;17;9;26;19;6;25;27;19;46;45;19;64
Jaén;7;1;8;3;0;3;3;1;4;5;3;8
La Corunya;1;1;2;3;0;3;1;2;3;5;0;5
La Rioja;3;1;4;3;2;5;8;1;9;7;4;11
Las Palmas;8;5;13;14;5;19;17;9;26;14;4;18
Lleida;1;0;1;0;1;1;0;0;0;0;0;0
Lleó;3;3;6;1;3;4;2;0;2;1;3;4
Lugo;1;0;1;1;0;1;0;0;0;1;1;2
Madrid;9;4;13;20;16;36;12;6;18;19;7;26
Màlaga;2;3;5;1;1;2;6;1;7;4;1;5
Melilla;0;1;1;0;0;0;0;1;1;0;0;0
Múrcia;34;33;67;57;33;90;44;49;93;50;28;78
0varra;4;5;9;6;1;7;6;1;7;7;7;14
No informat;0;0;0;0;2;2;0;0;0;1;0;1
Osca;5;3;8;13;2;15;9;5;14;18;0;18
Ourense;0;1;1;0;0;0;2;1;3;3;0;3
Palència;0;0;0;3;0;3;0;1;1;1;1;2
Pontevedra;0;0;0;5;0;5;6;4;10;6;2;8
Salamanca;1;0;1;1;1;2;3;0;3;0;0;0
Saragossa;9;1;10;17;4;21;15;7;22;22;8;30
Segòvia;0;0;0;0;0;0;1;0;1;1;1;2
Sevilla;4;1;5;0;3;3;4;2;6;0;0;0
Sòria;0;1;1;2;1;3;1;1;2;1;0;1
Tarrago0;5;2;7;4;4;8;2;4;6;3;1;4
Tenerife;13;8;21;13;2;15;13;7;20;10;9;19
Terol;37;17;54;60;21;81;46;24;70;40;24;64
Toledo;7;2;9;3;1;4;9;2;11;5;8;13
València;4.171;2.598;6.769;4.163;2.509;6.672;4.020;2.403;6.423;4.015;2.296;6.311
Valladolid;0;0;0;1;0;1;1;0;1;3;1;4
Zamora;1;1;2;2;0;2;1;0;1;1;1;2
Total;5.274;3.205;8.479;5.351;3.171;8.522;5.316;3.114;8.430;5.372;3.012;8.384
